Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
60,START,,2024-12-03 10:10:00.000,2024-12-03 10:10:00.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
60,END,,2024-12-03 10:10:00.000,2024-12-03 10:10:00.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
61,START,,2024-12-03 10:10:10.000,2024-12-03 10:10:10.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
61,END,,2024-12-03 10:10:10.000,2024-12-03 10:10:10.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
62,START,,2024-12-03 10:10:20.000,2024-12-03 10:10:20.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
62,END,,2024-12-03 10:10:20.000,2024-12-03 10:10:20.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
25,START,,2024-12-03 10:04:10.000,2024-12-03 10:04:10.000,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
25,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000001,2024-12-03 10:04:10.000,2024-12-03 10:04:11.000,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE EVALUATION SYSTEM,Default Resource-000003,2024-12-03 10:04:11.000,2024-12-03 10:04:12.000,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE PRODUCTION SYSTEM,Default Resource-000005,2024-12-03 10:04:12.000,2024-12-03 10:04:13.000,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000007,2024-12-03 10:04:13.000,2024-12-03 10:04:14.000,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE SEGREGATION SYSTEM,Default Resource-000009,2024-12-03 10:04:14.000,2024-12-03 10:04:15.000,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE PREPARATION SYSTEM,Default Resource-000001,2024-12-03 10:04:15.000,2024-12-03 10:04:16.000,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,CONFIGURE INGESTION SYSTEM,Default Resource-000003,2024-12-03 10:04:16.000,2024-12-03 10:04:17.000,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
25,END,,2024-12-03 10:04:17.000,2024-12-03 10:04:17.000,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
26,START,,2024-12-03 10:04:20.000,2024-12-03 10:04:20.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
26,END,,2024-12-03 10:04:20.000,2024-12-03 10:04:20.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
69,START,,2024-12-03 10:11:30.000,2024-12-03 10:11:30.000,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
69,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000003,2024-12-03 10:11:30.000,2024-12-03 10:11:31.000,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
