Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
0,START,,03/12/2024 10:00,03/12/2024 10:00,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
0,END,,03/12/2024 10:00,03/12/2024 10:00,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
1,START,,03/12/2024 10:00,03/12/2024 10:00,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
1,END,,03/12/2024 10:00,03/12/2024 10:00,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
2,START,,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
2,EVALUATE CLASSIFIER,Default Resource-000001,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
2,END,,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
3,START,,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
3,EVALUATE CLASSIFIER,Default Resource-000002,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
3,END,,03/12/2024 10:00,03/12/2024 10:00,Variant 3,3,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
